Trial,totalTime_evac_old,totalTime_new,totalTime_old,totalTime_resp_old
477,20,26,36,16
478,25,32,42,17
479,17,25,33,16
480,26,37,46,20
481,23,30,39,16
482,25,32,40,15
483,22,28,38,16
484,20,28,37,17
485,19,26,34,15
486,10,18,26,16
487,23,32,38,15
488,15,23,34,19
489,16,24,35,19
490,23,32,40,17
491,18,22,33,15
492,16,22,32,16
493,15,18,26,11
494,15,17,26,11
495,19,32,41,22
496,19,29,36,17
497,15,21,31,16
498,13,19,28,15
499,20,27,36,16
500,18,26,36,18
501,26,32,43,17
502,17,23,32,15
503,14,22,32,18
504,17,25,34,17
505,17,25,36,19
506,13,22,30,17
507,23,30,40,17
508,29,35,46,17
509,16,24,35,19
510,14,23,33,19
511,15,22,32,17
512,18,27,36,18
513,17,24,33,16
514,17,27,35,18
515,19,26,36,17
516,24,28,37,13
517,17,23,32,15
518,12,19,27,15
519,18,26,34,16
520,22,29,37,15
521,22,28,40,18
522,16,26,34,18
523,30,40,51,21
524,20,26,38,18
525,21,28,37,16
526,20,28,35,15
527,18,22,32,14
528,25,34,44,19
529,18,23,34,16
530,23,32,40,17
531,23,33,42,19
532,13,19,26,13
533,22,26,36,14
534,17,24,32,15
535,24,34,44,20
536,18,27,37,19
537,16,21,30,14
538,20,31,40,20
539,13,18,27,14
540,16,20,29,13
541,27,34,47,20
542,25,36,47,22
543,18,24,35,17
544,11,19,27,16
545,13,20,28,15
546,16,26,36,20
547,19,23,33,14
548,30,37,47,17
549,22,31,42,20
550,21,30,39,18
551,20,23,33,13
552,19,27,35,16
553,14,23,32,18
554,14,25,33,19
555,15,22,32,17
556,19,30,38,19
557,23,28,36,13
558,20,27,36,16
559,19,24,34,15
560,20,25,35,15
561,15,23,34,19
562,16,24,32,16
563,17,26,37,20
564,14,20,28,14
565,22,26,36,14
566,24,31,40,16
567,17,20,30,13
568,21,25,36,15
569,22,29,38,16
570,22,28,38,16
571,13,23,30,17
572,17,23,35,18
573,25,30,40,15
574,21,27,36,15
575,24,31,40,16
576,19,30,38,19
577,20,25,36,16
578,16,25,35,19
579,25,37,45,20
580,19,27,35,16
581,17,27,36,19
582,14,22,31,17
583,18,25,34,16
584,16,26,37,21
585,18,28,37,19
586,12,19,28,16
587,15,23,33,18
588,29,33,45,16
589,28,37,48,20
590,17,23,32,15
591,19,31,40,21
592,19,29,38,19
593,20,30,39,19
594,22,26,35,13
595,14,22,33,19
596,24,32,43,19
597,21,31,39,18
598,24,31,41,17
599,15,20,29,14
600,17,26,36,19
601,15,25,34,19
602,16,24,34,18
603,14,24,32,18
604,17,23,32,15
605,18,25,35,17
